model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMXT,0.9983597594313832,0.9836065573770492,accuracy,0.07668471336364746,0.010354995727539062,24.301172018051147,0.07668471336364746,0.010354995727539062,24.301172018051147,1,True,2
WeightedEnsemble_L2,0.9983597594313832,0.9836065573770492,accuracy,0.08043026924133301,0.01109766960144043,24.35046362876892,0.003745555877685547,0.0007426738739013672,0.04929161071777344,2,True,12
LightGBM,0.9982230727173319,0.98224043715847,accuracy,0.08358621597290039,0.010763406753540039,20.50466012954712,0.08358621597290039,0.010763406753540039,20.50466012954712,1,True,3
XGBoost,0.9976763258611263,0.976775956284153,accuracy,0.4163191318511963,0.033066749572753906,27.642106533050537,0.4163191318511963,0.033066749572753906,27.642106533050537,1,True,9
CatBoost,0.9975396391470749,0.9754098360655737,accuracy,0.07784199714660645,0.021781444549560547,75.52649712562561,0.07784199714660645,0.021781444549560547,75.52649712562561,1,True,6
RandomForestGini,0.9971295790049207,0.9713114754098361,accuracy,0.39824795722961426,0.3155632019042969,2.479374408721924,0.39824795722961426,0.3155632019042969,2.479374408721924,1,True,4
LightGBMLarge,0.9969928922908693,0.9726775956284153,accuracy,0.020322799682617188,0.007468700408935547,84.12489604949951,0.020322799682617188,0.007468700408935547,84.12489604949951,1,True,11
RandomForestEntr,0.9969928922908693,0.9699453551912568,accuracy,0.41511011123657227,0.32673001289367676,2.336202621459961,0.41511011123657227,0.32673001289367676,2.336202621459961,1,True,5
ExtraTreesGini,0.9954893384363039,0.9549180327868853,accuracy,0.383425235748291,0.3176381587982178,2.1231539249420166,0.383425235748291,0.3176381587982178,2.1231539249420166,1,True,7
NeuralNetFastAI,0.9950792782941498,0.9521857923497268,accuracy,0.36554431915283203,0.033951520919799805,16.11750364303589,0.36554431915283203,0.033951520919799805,16.11750364303589,1,True,1
ExtraTreesEntr,0.9949425915800985,0.9494535519125683,accuracy,0.44517946243286133,0.31274962425231934,1.927365779876709,0.44517946243286133,0.31274962425231934,1.927365779876709,1,True,8
NeuralNetTorch,0.994805904866047,0.9480874316939891,accuracy,0.46145009994506836,0.0939640998840332,31.44830322265625,0.46145009994506836,0.0939640998840332,31.44830322265625,1,True,10
