model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,1.0,1.0,accuracy,0.005765199661254883,0.0013766288757324219,1.0744609832763672,0.005765199661254883,0.0013766288757324219,1.0744609832763672,1,True,5
LightGBM,1.0,1.0,accuracy,0.02301812171936035,0.0016968250274658203,1.192471981048584,0.02301812171936035,0.0016968250274658203,1.192471981048584,1,True,2
LightGBMLarge,0.996551724137931,1.0,accuracy,0.018064498901367188,0.011892557144165039,18.816075086593628,0.018064498901367188,0.011892557144165039,18.816075086593628,1,True,11
XGBoost,0.996551724137931,1.0,accuracy,0.027468442916870117,0.016283035278320312,3.4535489082336426,0.027468442916870117,0.016283035278320312,3.4535489082336426,1,True,9
ExtraTreesEntr,0.996551724137931,1.0,accuracy,0.04778575897216797,0.033835411071777344,0.41190671920776367,0.04778575897216797,0.033835411071777344,0.41190671920776367,1,True,7
RandomForestEntr,0.996551724137931,1.0,accuracy,0.04802751541137695,0.03220033645629883,0.41661596298217773,0.04802751541137695,0.03220033645629883,0.41661596298217773,1,True,4
ExtraTreesGini,0.996551724137931,1.0,accuracy,0.048203468322753906,0.1602802276611328,0.4272034168243408,0.048203468322753906,0.1602802276611328,0.4272034168243408,1,True,6
RandomForestGini,0.996551724137931,1.0,accuracy,0.04944491386413574,0.03322792053222656,0.46425890922546387,0.04944491386413574,0.03322792053222656,0.46425890922546387,1,True,3
NeuralNetTorch,0.996551724137931,1.0,accuracy,0.1353917121887207,0.05541825294494629,28.298168420791626,0.1353917121887207,0.05541825294494629,28.298168420791626,1,True,10
LightGBMXT,0.993103448275862,1.0,accuracy,0.014093637466430664,0.0007724761962890625,2.6332180500030518,0.014093637466430664,0.0007724761962890625,2.6332180500030518,1,True,1
NeuralNetFastAI,0.9896551724137931,1.0,accuracy,0.11469602584838867,0.005656242370605469,8.874661684036255,0.11469602584838867,0.005656242370605469,8.874661684036255,1,True,8
WeightedEnsemble_L2,0.9896551724137931,1.0,accuracy,0.11580157279968262,0.006319284439086914,8.919611930847168,0.0011055469512939453,0.0006630420684814453,0.044950246810913086,2,True,12
