sample_id,true_label,predicted_label,model_name,prob_trend,prob_volatility,prob_stochastic,prob_anomaly,prob_structural_break
13735,2,3,RandomForest,0.04,0.095,0.355,0.4,0.11
13297,2,1,RandomForest,0.04,0.525,0.12,0.31,0.005
13859,2,3,RandomForest,0.035,0.25,0.285,0.42,0.01
15947,3,1,XGBoost,0.0028897568117827177,0.6784860491752625,0.0021036684047430754,0.31254473328590393,0.0039757960475981236
17487,4,3,XGBoost,0.0024152810219675303,0.0016711776843294501,0.0015925818588584661,0.8126654028892517,0.18165557086467743
13297,2,1,XGBoost,0.0003883757162839174,0.758551836013794,0.23980607092380524,0.0008030893513932824,0.0004506321856752038
11950,2,0,CatBoost,0.7969777781572858,0.0010720406987360157,0.20000661523468397,0.0011129992669598647,0.000830566642334386
17487,4,3,CatBoost,0.0012381049933907762,0.0035517395353084676,0.0029217794288079247,0.7399527213132818,0.252335654729211
13297,2,1,CatBoost,0.005304268144529032,0.7613667302560935,0.18881437604848314,0.03685165594407774,0.0076629696068165245
13859,2,1,CatBoost,0.005646266219935323,0.702293262320722,0.22691659496773992,0.05479908171412953,0.010344794777473474
17541,4,3,SVM_RBF,9.56621902935376e-05,0.00040122421474354244,0.0012563687380948562,0.18051921756534833,0.8177275272915197
17725,4,3,SVM_RBF,3.179542787809838e-05,0.0006278084935274715,0.0002764872258067584,0.842395386718202,0.15666852213458543
17677,4,3,SVM_RBF,0.00022000979587370948,0.0011810764519684604,0.0007187515432810274,0.41209249945713816,0.5857876627517383
16532,3,4,SVM_RBF,0.001584790138624357,0.004078260334682763,0.002449795430950305,0.047672328123886644,0.944214825971856
17798,4,3,SVM_RBF,5.23668916378522e-05,0.00023363645846209276,0.0008519586678080119,0.3460279474169044,0.6528340905651874
17565,4,3,SVM_RBF,3.731037652748551e-05,0.0006083523768626323,0.00048071901348904116,0.831303667411186,0.16756995082193468
17640,4,3,SVM_RBF,5.6304582707571134e-05,0.0013005849760300608,0.000652108963029838,0.43790643076841085,0.5600845707098214
18009,4,3,SVM_RBF,0.0001727857222751471,0.0010304638343387224,0.0005241707826136005,0.24074092408702866,0.7575316555737441
17783,4,3,SVM_RBF,3.7520963862125144e-05,0.000328650760796707,0.0002860024566977595,0.7426477851968796,0.25670004062176377
17498,4,3,SVM_RBF,0.0001432261249044959,0.0016708229131778703,0.0004919268267169027,0.56260001697692,0.4350940071582805
13735,2,1,SVM_RBF,0.05610013909112998,0.1542656084068648,0.5089952903275162,0.23053547802863264,0.05010348414585621
17646,4,3,SVM_RBF,8.557777985252029e-05,0.00031210034520950193,0.00048653683461226827,0.9082887536649263,0.09082703137539905
11083,0,2,SVM_RBF,0.12780606329777744,6.15192586303804e-05,0.8718023927595298,0.00020158967788779997,0.0001284350061745072
17595,4,3,SVM_RBF,4.921842801205381e-05,0.0013576744738688982,0.0006015008514369971,0.7325463722495463,0.2654452339971356
17513,4,3,SVM_RBF,6.542634398459742e-05,0.0005581712866864104,0.0008555198785664572,0.5206764264792298,0.4778444560115326
17539,4,3,SVM_RBF,0.0002959903692916196,0.004573293323408601,0.0009072066525041122,0.3676368238386742,0.6265866858161213
13297,2,1,SVM_RBF,0.0010914781234237646,0.9901539589039479,0.007995709060282243,0.00048811775687551304,0.0002707361554705699
17576,4,3,SVM_RBF,0.0002812477570666663,0.0013354251988531903,0.003312881928678208,0.7969065802068293,0.19816386490857255
13854,2,1,SVM_RBF,0.05532957315041859,0.30562071036377036,0.3665643042494664,0.21220499565310239,0.06028041658324215
17817,4,3,SVM_RBF,5.9449254673335615e-05,0.00016375027023594736,0.0011993478199476232,0.5154500978537103,0.4831273548014329
13486,2,1,SVM_RBF,0.06891817754594746,0.1584336228225067,0.49669842492801874,0.22464864783480612,0.051301126868721576
13859,2,1,SVM_RBF,0.003745879294972373,0.933593715149291,0.05215788598453836,0.0068555313526658885,0.0036469882185322785
15977,3,1,SVM_RBF,0.0009459975320632163,0.9582227407870432,0.0016601873222183239,0.03113884155604544,0.008032232802629637
17629,4,3,SVM_RBF,0.0001871927931081829,0.002569608444906909,0.0007112621277091653,0.48047716336452034,0.5160547732697556
17687,4,3,SVM_RBF,0.00023748414164064392,0.0011573720814993587,0.0006249191991592954,0.46759833934144557,0.5303818852362552
10884,0,2,SVM_RBF,0.24667705894450764,0.00012192668542592575,0.7527057630368035,0.0002900754377125625,0.0002051758955502847
