model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBMLarge,1.0,1.0,accuracy,0.018120527267456055,0.006166934967041016,43.60983085632324,0.018120527267456055,0.006166934967041016,43.60983085632324,1,True,11
RandomForestGini,1.0,1.0,accuracy,0.045318603515625,0.04133486747741699,0.4652836322784424,0.045318603515625,0.04133486747741699,0.4652836322784424,1,True,4
RandomForestEntr,1.0,1.0,accuracy,0.046653032302856445,0.03080892562866211,0.41736888885498047,0.046653032302856445,0.03080892562866211,0.41736888885498047,1,True,5
ExtraTreesEntr,1.0,1.0,accuracy,0.04708695411682129,0.042404890060424805,0.4345102310180664,0.04708695411682129,0.042404890060424805,0.4345102310180664,1,True,8
ExtraTreesGini,1.0,1.0,accuracy,0.0479123592376709,0.042849063873291016,0.4599306583404541,0.0479123592376709,0.042849063873291016,0.4599306583404541,1,True,7
NeuralNetTorch,0.9982078853046595,0.9910714285714286,accuracy,0.1856677532196045,0.01336050033569336,5.854617118835449,0.1856677532196045,0.01336050033569336,5.854617118835449,1,True,10
XGBoost,0.996415770609319,0.9910714285714286,accuracy,0.02950119972229004,0.015691280364990234,0.8554277420043945,0.02950119972229004,0.015691280364990234,0.8554277420043945,1,True,9
LightGBM,0.992831541218638,1.0,accuracy,0.0010197162628173828,0.0006797313690185547,1.6915435791015625,0.0010197162628173828,0.0006797313690185547,1.6915435791015625,1,True,3
CatBoost,0.992831541218638,0.9910714285714286,accuracy,0.006218671798706055,0.0030155181884765625,1.7930078506469727,0.006218671798706055,0.0030155181884765625,1.7930078506469727,1,True,6
LightGBMXT,0.9713261648745519,1.0,accuracy,0.0010843276977539062,0.0007059574127197266,2.2007129192352295,0.0010843276977539062,0.0007059574127197266,2.2007129192352295,1,True,2
WeightedEnsemble_L2,0.9713261648745519,1.0,accuracy,0.0024437904357910156,0.0013027191162109375,2.2452502250671387,0.0013594627380371094,0.0005967617034912109,0.04453730583190918,2,True,12
NeuralNetFastAI,0.9623655913978495,0.9642857142857143,accuracy,0.011435985565185547,0.004712104797363281,3.7162492275238037,0.011435985565185547,0.004712104797363281,3.7162492275238037,1,True,1
