id,true_label,predicted_label,correct,prob_Trend,prob_Volatility,prob_Stochastic,prob_Anomaly,prob_Structural Break,confidence
18345,4,3,0,0.00012576813,0.00013568476,0.00021689438,0.9462231,0.05329856,0.9462231
17397,3,4,0,0.0005539203,0.0008084249,0.024088815,0.19110972,0.78343916,0.78343916
13233,2,0,0,0.5152488,4.2735337e-05,0.48380274,2.4754838e-05,0.00088098156,0.5152488
17155,3,1,0,1.163193e-06,0.99871457,1.2269826e-05,0.001269832,2.1999551e-06,0.99871457
17890,3,4,0,0.00044886526,0.00034657397,0.0016182745,0.42030716,0.57727915,0.57727915
19023,4,3,0,5.194472e-05,4.970071e-05,0.00012865837,0.71332854,0.2864412,0.71332854
13578,2,4,0,0.0021220013,0.0004661289,0.21294935,0.0009436438,0.7835189,0.7835189
15428,1,3,0,5.8532205e-05,0.48569077,0.00029795265,0.513728,0.00022475122,0.513728
17239,3,1,0,6.235268e-05,0.9573916,7.430001e-05,0.041841708,0.00063005637,0.9573916
12900,2,4,0,0.0006834076,4.536036e-05,0.45058325,3.423735e-05,0.5486537,0.5486537
18157,4,3,0,4.306355e-05,6.75903e-05,0.0035439075,0.8749805,0.12136489,0.8749805
13070,2,4,0,0.00014903258,1.8746994e-05,0.053278092,2.3678405e-05,0.94653046,0.94653046
19866,4,2,0,0.0023570578,0.0004942347,0.71552056,0.0005464468,0.28108168,0.71552056
19362,4,0,0,0.99820125,2.8553634e-06,0.001757708,6.426958e-06,3.1727715e-05,0.99820125
19571,4,2,0,0.0032651096,0.0007535611,0.96827346,0.0002488754,0.02745905,0.96827346
13310,2,4,0,0.00018683489,7.8291356e-05,0.004089167,0.0004483693,0.99519736,0.99519736
18179,4,3,0,7.376014e-06,1.6312111e-05,1.5409307e-05,0.9963833,0.003577617,0.9963833
17242,3,1,0,3.9330003e-05,0.6662131,8.157756e-05,0.33352393,0.00014204968,0.6662131
17993,4,3,0,0.00035676404,0.00073723873,0.0013111361,0.5428919,0.45470294,0.5428919
18438,4,3,0,0.00010671412,0.00013935132,0.0009847889,0.8353911,0.1633781,0.8353911
19371,4,2,0,0.001829444,6.3481784e-05,0.84463334,7.126654e-05,0.15340243,0.84463334
13878,2,4,0,0.008481049,0.00015138915,0.3860998,5.843265e-05,0.60520935,0.60520935
13604,2,4,0,0.00033661563,6.2441e-05,0.014974556,0.00035495104,0.98427147,0.98427147
19246,4,1,0,2.9236096e-06,0.9299338,4.5479446e-06,3.473815e-05,0.07002401,0.9299338
15434,1,3,0,5.219593e-05,0.36482158,0.00043061565,0.6343077,0.00038791035,0.6343077
13483,2,4,0,0.0011042102,0.00013422738,0.3531335,0.0005093373,0.6451187,0.6451187
18436,4,0,0,0.5652065,7.153702e-05,0.0023260624,3.0010788e-05,0.4323659,0.5652065
19721,4,2,0,0.20448479,0.00054355885,0.6900599,0.00038037467,0.104531415,0.6900599
17868,3,4,0,0.0003482234,0.00029304202,0.0022896812,0.39116037,0.6059087,0.6059087
18083,4,3,0,5.169616e-05,0.0005894725,5.498904e-05,0.9515528,0.04775103,0.9515528
15048,1,3,0,4.8466274e-05,0.005267702,6.547107e-05,0.9944464,0.00017199262,0.9944464
13765,2,4,0,1.4143444e-05,2.477517e-05,7.692067e-05,0.00012785466,0.9997563,0.9997563
17928,4,2,0,0.0037897762,3.7174566e-05,0.99582654,0.00010448809,0.00024199495,0.99582654
15364,1,3,0,4.5007986e-05,0.018710574,0.00012060129,0.98077995,0.00034387445,0.98077995
16953,3,4,0,0.0017684208,0.04096456,0.012471303,0.45964447,0.4851512,0.4851512
16566,3,1,0,0.00032579724,0.70432,0.0048571276,0.2838754,0.0066216565,0.70432
17461,3,4,0,4.705016e-05,7.5691925e-05,2.7315857e-05,0.38533276,0.61451715,0.61451715
17649,3,4,0,0.00038095313,0.0012924834,0.0049742386,0.123448655,0.8699037,0.8699037
19404,4,2,0,2.2596907e-05,1.3209689e-05,0.99626106,0.00028976056,0.0034134015,0.99626106
17626,3,2,0,0.0002836633,0.00048192832,0.8788201,0.038857844,0.08155646,0.8788201
