feature_set,n_features,binary_balacc_mean,binary_balacc_std,multi_mean,multi_std
classical (18),18,0.9314583333333335,0.008928730157319277,0.9575555555555557,0.0068035333352326095
topology (24),24,0.9184999999999999,0.022393032770633526,0.9042962962962963,0.009418191544112458
tsfresh (24),24,0.9606250000000001,0.014582738083089871,0.9611851851851853,0.00520314350484029
tsfresh (100),100,0.9565833333333332,0.0136871036218608,0.9709629629629629,0.004763832649129938
classical+topology (42),42,0.9535,0.015950444089951436,0.9646666666666667,0.006742775435689042
classical+tsfresh (42),42,0.9621250000000001,0.013125595224598377,0.9703703703703704,0.007219847662821473
tsfresh+topology (48),48,0.9575,0.015547306840736096,0.9614814814814814,0.004655483366657975
all three (66),66,0.962625,0.014457552812745758,0.9714814814814814,0.00701165011330325
tsfresh100+topology (124),124,0.9549166666666669,0.01582433955090138,0.969259259259259,0.0057473080714876505
