,classical (18),topology (24),classical+topology (42),tsfresh (24),all three (66)
collective_anomaly,0.9411764705882353,0.881488736532811,0.9547244094488189,0.9565217391304348,0.9662027833001988
deterministic_trend,0.954864593781344,0.7967806841046278,0.945273631840796,0.9438423645320198,0.9613478691774033
mean_shift,0.9561752988047809,0.8882235528942116,0.958958958958959,0.97,0.9739478957915831
point_anomaly,0.9919678714859438,0.998,0.998,0.9979959919839679,0.999000999000999
stationary,0.924924924924925,0.8788461538461538,0.9440628066732091,0.9381746810598626,0.9488188976377953
stochastic_trend,0.9366336633663367,0.8959183673469387,0.9383697813121272,0.935064935064935,0.9492537313432836
trend_shift,0.9838056680161943,0.908183632734531,0.9828109201213346,0.9530612244897959,0.9848331648129424
variance_shift,0.98,0.9787664307381193,0.9879032258064516,0.9969909729187563,0.9969909729187563
volatility,0.9513184584178499,0.9403292181069959,0.9671457905544147,0.9611451942740287,0.9703779366700716
