,classical (18),topology (24),classical+topology (42),tsfresh (24),all three (66)
collective_anomaly,0.8970873786407767,0.8254901960784313,0.9058823529411765,0.9071358748778103,0.9115913555992141
deterministic_trend,0.9134808853118712,0.7582748244734202,0.9184890656063618,0.9223205506391348,0.9466403162055336
mean_shift,0.924901185770751,0.86328125,0.9556650246305419,0.968968968968969,0.9740518962075848
point_anomaly,0.992992992992993,0.9860279441117764,0.998,0.9979959919839679,0.998
stationary,0.8657314629258517,0.8274547187797903,0.8860759493670886,0.8799212598425197,0.89128305582762
stochastic_trend,0.892,0.8580508474576272,0.907070707070707,0.9079878665318504,0.9133064516129032
trend_shift,0.9572301425661914,0.8605577689243028,0.9612244897959183,0.9291497975708503,0.9716024340770791
variance_shift,0.9750747756729811,0.9787234042553191,0.9848637739656912,0.9939759036144579,0.994
volatility,0.9226069246435845,0.9105858170606372,0.9474768280123584,0.9404517453798767,0.957688338493292
