feature_set,n_features,binary_balacc_mean,binary_balacc_std,multi_mean,multi_std
classical (18),18,0.8986249999999999,0.019330190118051097,0.9269629629629628,0.009432163402273524
topology (24),24,0.8604583333333335,0.021013966916209676,0.8762962962962964,0.01049135773413642
tsfresh (24),24,0.9147916666666666,0.0179142440222547,0.9379259259259259,0.004781078389068132
tsfresh (100),100,0.9047916666666667,0.010860542752960783,0.9495555555555556,0.004309048762147845
classical+topology (42),42,0.9078333333333332,0.018926759422104516,0.939703703703704,0.0073866375480402535
classical+tsfresh (42),42,0.9292499999999999,0.014359955895939728,0.9502222222222223,0.004141529110664994
tsfresh+topology (48),48,0.9095416666666668,0.015311805539807795,0.9402962962962963,0.0035245562232208393
all three (66),66,0.9229583333333334,0.012471773686564755,0.9507407407407409,0.004673128976470364
tsfresh100+topology (124),124,0.9058333333333333,0.013545191848852578,0.9494814814814814,0.004641318577132011
